episode_seed,policy,step,best_utility_so_far
67,random,30,0.775674405757269
67,random,31,0.775674405757269
67,random,32,0.775674405757269
67,random,33,0.775674405757269
67,random,34,0.775674405757269
67,random,35,0.775674405757269
67,random,36,0.775674405757269
67,random,37,0.775674405757269
67,random,38,0.775674405757269
67,random,39,0.775674405757269
67,random,40,0.775674405757269
67,random,41,0.775674405757269
67,random,42,0.775674405757269
67,random,43,0.775674405757269
67,random,44,0.775674405757269
67,random,45,0.775674405757269
67,random,46,0.775674405757269
67,random,47,0.775674405757269
67,greedy,0,0.21515768170913782
67,greedy,1,0.775674405757269
67,greedy,2,0.775674405757269
67,greedy,3,0.775674405757269
67,greedy,4,0.775674405757269
67,greedy,5,0.775674405757269
67,greedy,6,0.810596492426196
67,greedy,7,0.8651763179138182
67,greedy,8,0.8739207945282439
67,greedy,9,0.8739207945282439
67,greedy,10,0.8739207945282439
67,greedy,11,0.8739207945282439
67,greedy,12,0.8739207945282439
67,greedy,13,0.8739207945282439
67,greedy,14,0.8739207945282439
67,greedy,15,0.8739207945282439
67,greedy,16,0.8739207945282439
67,greedy,17,0.8739207945282439
67,greedy,18,0.8739207945282439
67,greedy,19,0.8739207945282439
67,greedy,20,0.8739207945282439
67,greedy,21,0.8739207945282439
67,greedy,22,0.8739207945282439
67,greedy,23,0.8739207945282439
67,greedy,24,0.8739207945282439
67,greedy,25,0.8739207945282439
67,greedy,26,0.8739207945282439
67,greedy,27,0.8739207945282439
67,greedy,28,0.8739207945282439
67,greedy,29,0.8739207945282439
67,greedy,30,0.8739207945282439
67,greedy,31,0.8739207945282439
67,greedy,32,0.8739207945282439
67,greedy,33,0.8739207945282439
67,greedy,34,0.8739207945282439
67,greedy,35,0.8739207945282439
67,greedy,36,0.8739207945282439
67,greedy,37,0.8739207945282439
67,greedy,38,0.8739207945282439
67,greedy,39,0.8739207945282439
67,greedy,40,0.8739207945282439
67,greedy,41,0.8739207945282439
67,greedy,42,0.8739207945282439
67,greedy,43,0.8739207945282439
67,greedy,44,0.8739207945282439
67,greedy,45,0.8739207945282439
67,greedy,46,0.8739207945282439
67,greedy,47,0.8739207945282439
67,bads,0,0.21515768170913782
67,bads,1,0.775674405757269
67,bads,2,0.775674405757269
67,bads,3,0.775674405757269
67,bads,4,0.775674405757269
67,bads,5,0.775674405757269
67,bads,6,0.775674405757269
67,bads,7,0.775674405757269
67,bads,8,0.775674405757269
67,bads,9,0.775674405757269
67,bads,10,0.775674405757269
67,bads,11,0.775674405757269
67,bads,12,0.775674405757269
67,bads,13,0.775674405757269
67,bads,14,0.775674405757269
67,bads,15,0.775674405757269
67,bads,16,0.775674405757269
67,bads,17,0.775674405757269
67,bads,18,0.775674405757269
67,bads,19,0.775674405757269
67,bads,20,0.775674405757269
67,bads,21,0.775674405757269
67,bads,22,0.775674405757269
67,bads,23,0.775674405757269
67,bads,24,0.775674405757269
67,bads,25,0.775674405757269
67,bads,26,0.775674405757269
67,bads,27,0.775674405757269
67,bads,28,0.775674405757269
67,bads,29,0.775674405757269
67,bads,30,0.775674405757269
67,bads,31,0.775674405757269
67,bads,32,0.775674405757269
67,bads,33,0.775674405757269
67,bads,34,0.775674405757269
67,bads,35,0.775674405757269
67,bads,36,0.775674405757269
67,bads,37,0.775674405757269
67,bads,38,0.810596492426196
67,bads,39,0.8651763179138182
67,bads,40,0.8651763179138182
67,bads,41,0.8651763179138182
67,bads,42,0.8739207945282439
67,bads,43,0.8739207945282439
67,bads,44,0.8739207945282439
67,bads,45,0.8739207945282439
67,bads,46,0.8739207945282439
67,bads,47,0.8739207945282439
79,random,0,0.8843747017391197
79,random,1,0.8843747017391197
79,random,2,0.8843747017391197
79,random,3,0.8843747017391197
79,random,4,0.8843747017391197
79,random,5,0.8843747017391197
79,random,6,0.8843747017391197
79,random,7,0.8843747017391197
79,random,8,0.8843747017391197
79,random,9,0.8843747017391197
79,random,10,0.8843747017391197
79,random,11,0.8843747017391197
79,random,12,0.8843747017391197
79,random,13,0.8843747017391197
79,random,14,0.8843747017391197
79,random,15,0.8843747017391197
79,random,16,0.8843747017391197
79,random,17,0.8843747017391197
79,random,18,0.8843747017391197
79,random,19,0.8843747017391197
79,random,20,0.8843747017391197
79,random,21,0.8843747017391197
79,random,22,0.8843747017391197
79,random,23,0.8843747017391197
79,random,24,0.8843747017391197
79,random,25,0.8843747017391197
79,random,26,0.8843747017391197
79,random,27,0.8843747017391197
79,random,28,0.8843747017391197
79,random,29,0.8843747017391197
79,random,30,0.8843747017391197
79,random,31,0.8843747017391197
79,random,32,0.8843747017391197
79,random,33,0.8843747017391197
79,random,34,0.8843747017391197
79,random,35,0.8843747017391197
79,random,36,0.8843747017391197
79,random,37,0.8843747017391197
79,random,38,0.8843747017391197
79,random,39,0.8843747017391197
79,random,40,0.8843747017391197
79,random,41,0.8843747017391197
79,random,42,0.8843747017391197
79,random,43,0.8843747017391197
79,random,44,0.8843747017391197
79,random,45,0.8843747017391197
79,random,46,0.8843747017391197
79,random,47,0.8843747017391197
79,greedy,0,0.8843747017391197
79,greedy,1,0.8843747017391197
79,greedy,2,0.8843747017391197
79,greedy,3,0.8843747017391197
79,greedy,4,0.8843747017391197
79,greedy,5,0.8843747017391197
79,greedy,6,0.8843747017391197
79,greedy,7,0.9280416035499961
79,greedy,8,0.9280416035499961
79,greedy,9,0.9280416035499961
79,greedy,10,0.9280416035499961
79,greedy,11,0.9280416035499961
79,greedy,12,0.9280416035499961
79,greedy,13,0.9280416035499961
79,greedy,14,0.9280416035499961
79,greedy,15,0.9280416035499961
79,greedy,16,0.9280416035499961
79,greedy,17,0.9280416035499961
79,greedy,18,0.9280416035499961
79,greedy,19,0.9280416035499961
79,greedy,20,0.9280416035499961
79,greedy,21,0.9280416035499961
79,greedy,22,0.9280416035499961
79,greedy,23,0.9280416035499961
79,greedy,24,0.9280416035499961
79,greedy,25,0.9280416035499961
79,greedy,26,0.9280416035499961
79,greedy,27,0.9280416035499961
79,greedy,28,0.9280416035499961
79,greedy,29,0.9280416035499961
79,greedy,30,0.9280416035499961
79,greedy,31,0.9280416035499961
79,greedy,32,0.9280416035499961
79,greedy,33,0.9280416035499961
79,greedy,34,0.9280416035499961
79,greedy,35,0.9280416035499961
79,greedy,36,0.9280416035499961
79,greedy,37,0.9280416035499961
79,greedy,38,0.9280416035499961
79,greedy,39,0.9280416035499961
79,greedy,40,0.9280416035499961
79,greedy,41,0.9280416035499961
79,greedy,42,0.9280416035499961
79,greedy,43,0.9280416035499961
79,greedy,44,0.9280416035499961
79,greedy,45,0.9280416035499961
79,greedy,46,0.9280416035499961
79,greedy,47,0.9280416035499961
79,bads,0,0.8843747017391197
79,bads,1,0.8843747017391197
79,bads,2,0.8843747017391197
79,bads,3,0.8843747017391197
79,bads,4,0.8843747017391197
79,bads,5,0.8843747017391197
79,bads,6,0.8843747017391197
79,bads,7,0.8843747017391197
79,bads,8,0.8843747017391197
79,bads,9,0.8843747017391197
79,bads,10,0.8843747017391197
79,bads,11,0.8843747017391197
79,bads,12,0.8843747017391197
79,bads,13,0.8843747017391197
79,bads,14,0.8843747017391197
79,bads,15,0.8843747017391197
79,bads,16,0.8843747017391197
79,bads,17,0.8843747017391197
79,bads,18,0.8843747017391197
79,bads,19,0.9280416035499961
79,bads,20,0.9280416035499961
79,bads,21,0.9280416035499961
79,bads,22,0.9280416035499961
79,bads,23,0.9280416035499961
79,bads,24,0.9280416035499961
79,bads,25,0.9280416035499961
79,bads,26,0.9280416035499961
79,bads,27,0.9280416035499961
79,bads,28,0.9280416035499961
79,bads,29,0.9280416035499961
79,bads,30,0.9280416035499961
79,bads,31,0.9280416035499961
79,bads,32,0.9280416035499961
79,bads,33,0.9280416035499961
79,bads,34,0.9280416035499961
79,bads,35,0.9280416035499961
79,bads,36,0.9280416035499961
79,bads,37,0.9280416035499961
79,bads,38,0.9280416035499961
79,bads,39,0.9280416035499961
79,bads,40,0.9280416035499961
79,bads,41,0.9280416035499961
79,bads,42,0.9280416035499961
79,bads,43,0.9280416035499961
79,bads,44,0.9280416035499961
79,bads,45,0.9280416035499961
79,bads,46,0.9280416035499961
79,bads,47,0.9280416035499961
97,random,0,0.21409651494325654
97,random,1,0.44617352336395394
97,random,2,0.44617352336395394
97,random,3,0.44617352336395394
97,random,4,0.44617352336395394
97,random,5,0.44617352336395394
97,random,6,0.44617352336395394
97,random,7,0.44617352336395394
97,random,8,0.44617352336395394
97,random,9,0.44617352336395394
97,random,10,0.44617352336395394
97,random,11,0.44617352336395394
97,random,12,0.44617352336395394
97,random,13,0.44617352336395394
97,random,14,0.44617352336395394
